book_id,title,source_type,item_kind,genre_original,primary_domain,tags,rag_relevance,language_hint,suggested_search_mode,paid_price,ordered_at,embedding_text
bk_d54937a544,行動経済学 -- 伝統的経済学との統合による新しい経済学を目指して 新版,book,book_or_ebook,"学術書, 経済学",経済・金融,紙/通常本;経済,low,ja,structured_search,1597,2025-01-14T15:26:51.105Z,"title: 行動経済学 -- 伝統的経済学との統合による新しい経済学を目指して 新版
genre: 学術書, 経済学
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_9aa334be9e,簿記の思考と技法,book,book_or_ebook,"学術書, 会計",法律・会計・資格,紙/通常本;法律/会計/資格,low,ja,structured_search,2640,2022-12-31T14:20:24Z,"title: 簿記の思考と技法
genre: 学術書, 会計
primary_domain: 法律・会計・資格
tags: 紙/通常本;法律/会計/資格"
bk_cf19ff7a96,マルクス経済学 第3版,book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,2970,2022-12-31T14:20:19Z,"title: マルクス経済学 第3版
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_fe6129317b,世界経済の歴史〔第2版〕―グローバル経済史入門―,book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,2970,2022-12-31T14:20:28Z,"title: 世界経済の歴史〔第2版〕―グローバル経済史入門―
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_a60cfbb92d,地銀大再編,book,book_or_ebook,,その他,紙/通常本,low,ja,structured_search,643,2026-01-12T10:20:06.041Z,"title: 地銀大再編
genre: 
primary_domain: その他
tags: 紙/通常本"
bk_21f92210fb,TypeScriptとReact/Next.jsでつくる実践Webアプリケーション開発,book,book_or_ebook,,IT・プログラミング,紙/通常本;IT;Web開発,low,ja,rag_or_structured,1315,2025-11-20T06:09:27.780Z,"title: TypeScriptとReact/Next.jsでつくる実践Webアプリケーション開発
genre: 
primary_domain: IT・プログラミング
tags: 紙/通常本;IT;Web開発"
bk_076acd618a,プロを目指す人のためのTypeScript入門 安全なコードの書き方から高度な型の使い方まで (Software Design plus),book,book_or_ebook,,IT・プログラミング,紙/通常本;IT;Web開発,low,ja,rag_or_structured,2561,2025-11-20T06:09:27.780Z,"title: プロを目指す人のためのTypeScript入門 安全なコードの書き方から高度な型の使い方まで (Software Design plus)
genre: 
primary_domain: IT・プログラミング
tags: 紙/通常本;IT;Web開発"
bk_e2ec4a0ca5,組織の経済学,book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,1269,2025-01-13T07:50:14.063Z,"title: 組織の経済学
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_eefa9375c5,概説日本経済史 近現代 第4版,book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,1459,2024-12-19T08:43:08.548Z,"title: 概説日本経済史 近現代 第4版
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_4fd1699ddc,演習ミクロ経済学 (演習新経済学ライブラリ),book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,2750,2023-01-17T00:01:55Z,"title: 演習ミクロ経済学 (演習新経済学ライブラリ)
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_079771caf5,SAP 会社を、社会を、世界を変えるシンプル・イノベーター,book,book_or_ebook,,歴史・国際関係・地政学,紙/通常本;歴史/国際関係,low,ja,structured_search,607,2025-10-28T06:10:04.555Z,"title: SAP 会社を、社会を、世界を変えるシンプル・イノベーター
genre: 
primary_domain: 歴史・国際関係・地政学
tags: 紙/通常本;歴史/国際関係"
bk_d0922c74fe,IPOは野村にきいてみよう。［改訂版］,book,book_or_ebook,,法律・会計・資格,紙/通常本;法律/会計/資格,low,ja,structured_search,988,2025-10-28T06:10:04.555Z,"title: IPOは野村にきいてみよう。［改訂版］
genre: 
primary_domain: 法律・会計・資格
tags: 紙/通常本;法律/会計/資格"
bk_69548eddf7,語りかける中学数学 [3訂版],book,book_or_ebook,,数学・数理,紙/通常本;数学,low,ja,structured_search,3190,2025-12-13T18:06:41.761Z,"title: 語りかける中学数学 [3訂版]
genre: 
primary_domain: 数学・数理
tags: 紙/通常本;数学"
bk_6766c9de82,AWS運用入門 押さえておきたいAWSの基本と運用ノウハウ,book,book_or_ebook,,クラウド・AWS,紙/通常本;AWS;クラウド;クラウド運用,medium,ja,rag_or_structured,673,2026-01-26T07:02:44.985Z,"title: AWS運用入門 押さえておきたいAWSの基本と運用ノウハウ
genre: 
primary_domain: クラウド・AWS
tags: 紙/通常本;AWS;クラウド;クラウド運用"
bk_2c0ed4dabb,C++プログラミング入門,book,book_or_ebook,,IT・プログラミング,紙/通常本;IT;クラウド運用,medium,ja,rag_or_structured,1262,2026-01-26T07:02:44.985Z,"title: C++プログラミング入門
genre: 
primary_domain: IT・プログラミング
tags: 紙/通常本;IT;クラウド運用"
bk_20cb0b3a0a,情報処理教科書 データベーススペシャリスト 2025年版 (EXAMPRESS),book,book_or_ebook,,データベース・SQL,洋書;紙/通常本;DB;SQL,medium,en_or_mixed,rag_or_structured,3278,2026-02-05T03:30:51.974Z,"title: 情報処理教科書 データベーススペシャリスト 2025年版 (EXAMPRESS)
genre: 
primary_domain: データベース・SQL
tags: 洋書;紙/通常本;DB;SQL"
bk_166066320e,独習Java 第6版,book,book_or_ebook,,IT・プログラミング,洋書;紙/通常本;IT,low,en_or_mixed,rag_or_structured,3278,2026-01-25T17:09:31.171Z,"title: 独習Java 第6版
genre: 
primary_domain: IT・プログラミング
tags: 洋書;紙/通常本;IT"
bk_318b70c400,数研講座シリーズ 大学教養 線形代数,book,book_or_ebook,,数学・数理,紙/通常本;数学,low,ja,structured_search,1620,2024-12-12T06:33:50.383Z,"title: 数研講座シリーズ 大学教養 線形代数
genre: 
primary_domain: 数学・数理
tags: 紙/通常本;数学"
bk_83d9e58c61,AWSの基本・仕組み・重要用語が全部わかる教科書 (見るだけ図解),book,book_or_ebook,,クラウド・AWS,紙/通常本;AWS;クラウド,medium,ja,rag_or_structured,2970,2023-08-31T21:21:58Z,"title: AWSの基本・仕組み・重要用語が全部わかる教科書 (見るだけ図解)
genre: 
primary_domain: クラウド・AWS
tags: 紙/通常本;AWS;クラウド"
bk_c18c0017c0,28日で即戦力！　サーバ技術者養成講座　［改訂4版］,book,book_or_ebook,,IT・プログラミング,紙/通常本;IT;クラウド運用,medium,ja,rag_or_structured,3960,2026-03-11T15:52:47.611Z,"title: 28日で即戦力！　サーバ技術者養成講座　［改訂4版］
genre: 
primary_domain: IT・プログラミング
tags: 紙/通常本;IT;クラウド運用"
bk_da3f826729,(模擬問題付き)徹底攻略 AWS認定 ソリューションアーキテクト − アソシエイト教科書 第3版［SAA-C03］対応,book,book_or_ebook,,クラウド・AWS,紙/通常本;AWS;クラウド;AWS認定,medium,ja,rag_or_structured,2860,2026-03-03T06:04:14.545Z,"title: (模擬問題付き)徹底攻略 AWS認定 ソリューションアーキテクト − アソシエイト教科書 第3版［SAA-C03］対応
genre: 
primary_domain: クラウド・AWS
tags: 紙/通常本;AWS;クラウド;AWS認定"
bk_a4e3158b58,確率 (モノグラフ 21),book,book_or_ebook,,統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,796,2025-05-02T15:59:06.555Z,"title: 確率 (モノグラフ 21)
genre: 
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_b38e427efe,インフラエンジニア教本――セキュリティ実践技術編 (Software Design[別冊]),book,book_or_ebook,,セキュリティ,紙/通常本;セキュリティ;クラウド運用,medium,ja,rag_or_structured,1835,2025-04-07T07:03:10.413Z,"title: インフラエンジニア教本――セキュリティ実践技術編 (Software Design[別冊])
genre: 
primary_domain: セキュリティ
tags: 紙/通常本;セキュリティ;クラウド運用"
bk_7c1beb9f87,インフラエンジニア教本2――システム管理・構築技術解説 (Software Design別冊),book,book_or_ebook,,IT・プログラミング,紙/通常本;IT;クラウド運用,medium,ja,rag_or_structured,1090,2025-04-07T07:03:10.413Z,"title: インフラエンジニア教本2――システム管理・構築技術解説 (Software Design別冊)
genre: 
primary_domain: IT・プログラミング
tags: 紙/通常本;IT;クラウド運用"
bk_59940b90c3,経済政策論:日本と世界が直面する諸課題,book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,3520,2024-01-22T17:20:55Z,"title: 経済政策論:日本と世界が直面する諸課題
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_3641394a52,日本統計学会公式認定 統計検定 2級 公式問題集[2018〜2021年],book,book_or_ebook,,統計・データ分析,紙/通常本;統計;データ分析;統計検定,low,ja,rag_or_structured,1980,2022-12-31T15:05:28Z,"title: 日本統計学会公式認定 統計検定 2級 公式問題集[2018〜2021年]
genre: 
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析;統計検定"
bk_d6b1f1f1d3,"The Technological Republic: Hard Power, Soft Belief, and the Future of the West",book,book_or_ebook,,歴史・国際関係・地政学,洋書;紙/通常本;歴史/国際関係,low,en_or_mixed,structured_search,2750,2026-03-23T17:15:06.607Z,"title: The Technological Republic: Hard Power, Soft Belief, and the Future of the West
genre: 
primary_domain: 歴史・国際関係・地政学
tags: 洋書;紙/通常本;歴史/国際関係"
bk_77e53b14fd,外資系コンサルのリサーチ技法（第2版）,book,book_or_ebook,,ビジネス・プロダクト・組織,紙/通常本;ビジネス;組織,low,ja,structured_search,2640,2026-03-23T17:15:06.607Z,"title: 外資系コンサルのリサーチ技法（第2版）
genre: 
primary_domain: ビジネス・プロダクト・組織
tags: 紙/通常本;ビジネス;組織"
bk_4dbcaaf2c4,自然言語処理の基本と技術 (仕組みが見えるゼロからわかる),book,book_or_ebook,,AI・NLP・RAG,紙/通常本;AI;NLP;RAG候補,high,ja,rag_or_structured,705,2025-09-24T06:11:17.497Z,"title: 自然言語処理の基本と技術 (仕組みが見えるゼロからわかる)
genre: 
primary_domain: AI・NLP・RAG
tags: 紙/通常本;AI;NLP;RAG候補"
bk_2dc4749d2a,マーケットデザイン: 最先端の実用的な経済学 (ちくま新書),book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,456,2025-09-24T06:11:17.497Z,"title: マーケットデザイン: 最先端の実用的な経済学 (ちくま新書)
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_4df6e36bef,クチコミ分析システムの作り方 (実践・自然言語処理シリーズ),book,book_or_ebook,,AI・NLP・RAG,紙/通常本;AI;NLP;RAG候補,high,ja,rag_or_structured,834,2025-09-24T06:11:17.497Z,"title: クチコミ分析システムの作り方 (実践・自然言語処理シリーズ)
genre: 
primary_domain: AI・NLP・RAG
tags: 紙/通常本;AI;NLP;RAG候補"
bk_edecfcc657,日本統計学会公式認定 統計検定準1級対応 統計学実践ワークブック,book,book_or_ebook,,統計・データ分析,紙/通常本;統計;データ分析;統計検定,low,ja,rag_or_structured,3080,2026-01-09T08:12:12.281Z,"title: 日本統計学会公式認定 統計検定準1級対応 統計学実践ワークブック
genre: 
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析;統計検定"
bk_006fa3b676,新版 演習線形代数 ((新版演習数学ライブラリ)),book,book_or_ebook,,数学・数理,紙/通常本;数学,low,ja,structured_search,1230,2024-12-11T11:47:50.010Z,"title: 新版 演習線形代数 ((新版演習数学ライブラリ))
genre: 
primary_domain: 数学・数理
tags: 紙/通常本;数学"
bk_a3202343e3,統計学入門 (基礎統計学Ⅰ),book,book_or_ebook,,統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,1929,2024-12-04T05:43:26.622Z,"title: 統計学入門 (基礎統計学Ⅰ)
genre: 
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_67c0dcb2b6,会社法判例百選〔第4版〕: 別冊ジュリスト 第254号,book,book_or_ebook,,法律・会計・資格,紙/通常本;法律/会計/資格,low,ja,structured_search,2750,2025-01-01T15:17:09.667Z,"title: 会社法判例百選〔第4版〕: 別冊ジュリスト 第254号
genre: 
primary_domain: 法律・会計・資格
tags: 紙/通常本;法律/会計/資格"
bk_4813a77d41,The Man in the High Castle (Penguin Essentials),book,book_or_ebook,,その他,洋書;紙/通常本,low,en_or_mixed,structured_search,0,Not Available,"title: The Man in the High Castle (Penguin Essentials)
genre: 
primary_domain: その他
tags: 洋書;紙/通常本"
bk_0a3167fbad,二訂版 QGISの基本と防災活用,book,book_or_ebook,,その他,紙/通常本,low,ja,structured_search,1829,2025-07-27T06:34:57.907Z,"title: 二訂版 QGISの基本と防災活用
genre: 
primary_domain: その他
tags: 紙/通常本"
bk_1f274b80e3,マーケットデザイン総論 (シリーズ マーケットデザイン),book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,3190,2025-10-28T05:59:26.409Z,"title: マーケットデザイン総論 (シリーズ マーケットデザイン)
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_8ba02d6a07,入門 公共経済学 第2版,book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,2900,2025-10-28T05:59:33.346Z,"title: 入門 公共経済学 第2版
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_8f6e1a2831,効果検証入門〜正しい比較のための因果推論/計量経済学の基礎,book,book_or_ebook,,統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,2948,2025-10-28T05:59:33.346Z,"title: 効果検証入門〜正しい比較のための因果推論/計量経済学の基礎
genre: 
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_69e4566013,解析入門 (2) 基礎数学 3,book,book_or_ebook,,数学・数理,紙/通常本;数学,low,ja,structured_search,2742,2025-02-01T06:40:08.106Z,"title: 解析入門 (2) 基礎数学 3
genre: 
primary_domain: 数学・数理
tags: 紙/通常本;数学"
bk_e5582217f7,完全自殺マニュアル,book,book_or_ebook,,社会・ノンフィクション,紙/通常本;社会/ノンフィクション,low,ja,structured_search,1282,2020-07-24T00:50:20Z,"title: 完全自殺マニュアル
genre: 
primary_domain: 社会・ノンフィクション
tags: 紙/通常本;社会/ノンフィクション"
bk_6867c8b69f,どくとるマンボウ航海記 (新潮文庫),book,book_or_ebook,,小説・文学,紙/通常本;小説,low,ja,structured_search,572,2025-09-28T14:09:12.050Z,"title: どくとるマンボウ航海記 (新潮文庫)
genre: 
primary_domain: 小説・文学
tags: 紙/通常本;小説"
bk_145c0ea167,都市経済学 (有斐閣ブックス),book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,2750,2024-11-09T01:11:31.417Z,"title: 都市経済学 (有斐閣ブックス)
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_bcde89a690,環境経済学の第一歩 (有斐閣ストゥディア),book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,2200,2024-09-30T06:10:28.817Z,"title: 環境経済学の第一歩 (有斐閣ストゥディア)
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_8a660d698a,計量経済学 (New Liberal Arts Selection),book,book_or_ebook,,統計・データ分析,洋書;紙/通常本;統計;データ分析,low,en_or_mixed,rag_or_structured,3600,2025-02-01T03:12:11.684Z,"title: 計量経済学 (New Liberal Arts Selection)
genre: 
primary_domain: 統計・データ分析
tags: 洋書;紙/通常本;統計;データ分析"
bk_6c60209329,解析入門 (1),book,book_or_ebook,,数学・数理,紙/通常本;数学,low,ja,structured_search,2120,2025-02-01T06:25:28.982Z,"title: 解析入門 (1)
genre: 
primary_domain: 数学・数理
tags: 紙/通常本;数学"
bk_319c39167d,数学の世界史,book,book_or_ebook,,数学・数理,紙/通常本;数学,low,ja,structured_search,2079,2025-02-01T06:25:28.982Z,"title: 数学の世界史
genre: 
primary_domain: 数学・数理
tags: 紙/通常本;数学"
bk_46aa05061c,租税法判例六法 第3版,book,book_or_ebook,,法律・会計・資格,紙/通常本;法律/会計/資格,low,ja,structured_search,1415,2024-01-22T14:38:43Z,"title: 租税法判例六法 第3版
genre: 
primary_domain: 法律・会計・資格
tags: 紙/通常本;法律/会計/資格"
bk_4e3519305d,生きのびるマンション: 〈二つの老い〉をこえて (岩波新書 新赤版 1790),book,book_or_ebook,,社会・ノンフィクション,紙/通常本;社会/ノンフィクション,low,ja,structured_search,410,2025-10-01T09:45:12.630Z,"title: 生きのびるマンション: 〈二つの老い〉をこえて (岩波新書 新赤版 1790)
genre: 
primary_domain: 社会・ノンフィクション
tags: 紙/通常本;社会/ノンフィクション"
bk_7d2d59ad0e,DeNAと万引きメディアの大罪,book,book_or_ebook,,社会・ノンフィクション,洋書;紙/通常本;社会/ノンフィクション,low,en_or_mixed,structured_search,350,2025-09-24T09:40:51.539Z,"title: DeNAと万引きメディアの大罪
genre: 
primary_domain: 社会・ノンフィクション
tags: 洋書;紙/通常本;社会/ノンフィクション"
bk_207ca5f398,Ｒによる空間データの統計分析 (統計科学のプラクティス),book,book_or_ebook,,統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,753,2025-07-27T07:10:42.507Z,"title: Ｒによる空間データの統計分析 (統計科学のプラクティス)
genre: 
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_677289d3be,演習ゲーム理論 (演習新経済学ライブラリ 4),book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,539,2025-02-03T07:07:58.374Z,"title: 演習ゲーム理論 (演習新経済学ライブラリ 4)
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_88c68515ea,MaaS モビリティ革命の先にある全産業のゲームチェンジ,book,book_or_ebook,,その他,洋書;紙/通常本,low,en_or_mixed,structured_search,256,2024-12-20T03:30:19.418Z,"title: MaaS モビリティ革命の先にある全産業のゲームチェンジ
genre: 
primary_domain: その他
tags: 洋書;紙/通常本"
bk_7ac9fc2985,演習マクロ経済学 (演習新経済学ライブラリ 2),book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,1707,2025-02-01T01:38:58.940Z,"title: 演習マクロ経済学 (演習新経済学ライブラリ 2)
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_ab00d663ed,SEが基礎から学ぶ金融システムの教科書,book,book_or_ebook,,経済・金融,紙/通常本;経済;金融システム,low,ja,structured_search,1184,2025-11-11T03:27:20.630Z,"title: SEが基礎から学ぶ金融システムの教科書
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済;金融システム"
bk_33eec7a3a5,現代株式会社法講義,book,book_or_ebook,,法律・会計・資格,紙/通常本;法律/会計/資格,low,ja,structured_search,3520,2024-09-30T02:03:27.448Z,"title: 現代株式会社法講義
genre: 
primary_domain: 法律・会計・資格
tags: 紙/通常本;法律/会計/資格"
bk_461d0d35ee,入門財政学[第2版],book,book_or_ebook,,経済・金融,紙/通常本;経済,low,ja,structured_search,3080,2025-10-28T02:56:49.123Z,"title: 入門財政学[第2版]
genre: 
primary_domain: 経済・金融
tags: 紙/通常本;経済"
bk_25e0afa720,Rによるベイズ統計分析 (シリーズ〈統計科学のプラクティス〉 2),book,book_or_ebook,,統計・データ分析,紙/通常本;統計;データ分析,low,ja,rag_or_structured,1251,2025-02-01T06:41:39.279Z,"title: Rによるベイズ統計分析 (シリーズ〈統計科学のプラクティス〉 2)
genre: 
primary_domain: 統計・データ分析
tags: 紙/通常本;統計;データ分析"
bk_f19a9d4415,生物から見た世界 (岩波文庫 青 943-1),book,book_or_ebook,,歴史・国際関係・地政学,紙/通常本;歴史/国際関係,low,ja,structured_search,858,2024-12-17T08:21:22.807Z,"title: 生物から見た世界 (岩波文庫 青 943-1)
genre: 
primary_domain: 歴史・国際関係・地政学
tags: 紙/通常本;歴史/国際関係"
bk_1bad40ef8e,SEの仕事を楽しくしよう: こんなSEはだめになる,book,book_or_ebook,,その他,紙/通常本,low,ja,structured_search,291,2026-02-23T05:00:15.555Z,"title: SEの仕事を楽しくしよう: こんなSEはだめになる
genre: 
primary_domain: その他
tags: 紙/通常本"
bk_0fba2e7b48,サーバ/インフラエンジニア養成読本 ログ収集~可視化編 [現場主導のデータ分析環境を構築!] (Software Design plus),book,book_or_ebook,,IT・プログラミング,紙/通常本;IT;クラウド運用,medium,ja,rag_or_structured,428,2026-02-10T06:03:39.294Z,"title: サーバ/インフラエンジニア養成読本 ログ収集~可視化編 [現場主導のデータ分析環境を構築!] (Software Design plus)
genre: 
primary_domain: IT・プログラミング
tags: 紙/通常本;IT;クラウド運用"
bk_39db3104c9,富士ソフト創業者 野澤宏の「変化の時を生き抜く」,book,book_or_ebook,,その他,紙/通常本,low,ja,structured_search,536,2025-12-21T07:11:30.466Z,"title: 富士ソフト創業者 野澤宏の「変化の時を生き抜く」
genre: 
primary_domain: その他
tags: 紙/通常本"
bk_be14f733a8,TCP/IPソケットプログラミング (C言語編),book,book_or_ebook,,IT・プログラミング,紙/通常本;IT;ネットワーク;クラウド運用,medium,ja,rag_or_structured,945,2025-11-18T05:27:29.197Z,"title: TCP/IPソケットプログラミング (C言語編)
genre: 
primary_domain: IT・プログラミング
tags: 紙/通常本;IT;ネットワーク;クラウド運用"
bk_14559b93dd,オウンドメディアリクルーティングの教科書――採用戦略から具体的な施策まで、この一冊ですべてわかる,book,book_or_ebook,,ビジネス・プロダクト・組織,紙/通常本;ビジネス;組織;就活/キャリア,low,ja,structured_search,417,2025-11-11T06:14:59.358Z,"title: オウンドメディアリクルーティングの教科書――採用戦略から具体的な施策まで、この一冊ですべてわかる
genre: 
primary_domain: ビジネス・プロダクト・組織
tags: 紙/通常本;ビジネス;組織;就活/キャリア"
bk_ff1cebe6f3,何が教師を壊すのか　追いつめられる先生たちのリアル (朝日新書),book,book_or_ebook,,社会・ノンフィクション,紙/通常本;社会/ノンフィクション,low,ja,structured_search,532,2025-11-07T05:15:30.062Z,"title: 何が教師を壊すのか　追いつめられる先生たちのリアル (朝日新書)
genre: 
primary_domain: 社会・ノンフィクション
tags: 紙/通常本;社会/ノンフィクション"
bk_16ec4c3946,スケールフリーネットワーク ものづくり日本だからできるDX,book,book_or_ebook,,ビジネス・プロダクト・組織,紙/通常本;ビジネス;組織,low,ja,structured_search,372,2025-10-07T05:21:14.896Z,"title: スケールフリーネットワーク ものづくり日本だからできるDX
genre: 
primary_domain: ビジネス・プロダクト・組織
tags: 紙/通常本;ビジネス;組織"
bk_01165e9929,英語屋さん ―ソニー創業者・井深大に仕えた四年半 (集英社新書),book,book_or_ebook,,英語・語学,紙/通常本;英語,low,ja,structured_search,369,2025-10-07T05:15:29.865Z,"title: 英語屋さん ―ソニー創業者・井深大に仕えた四年半 (集英社新書)
genre: 
primary_domain: 英語・語学
tags: 紙/通常本;英語"
bk_71c179fdf0,陸に上がった日立造船――復活にマジックはない あるのは技術力だ,book,book_or_ebook,,その他,紙/通常本,low,ja,structured_search,368,2025-10-03T05:59:37.804Z,"title: 陸に上がった日立造船――復活にマジックはない あるのは技術力だ
genre: 
primary_domain: その他
tags: 紙/通常本"
